[0, 'video_1.mp4', 19.8585, '15:58:57', '2021-05-10', '']
[0, 'video_3.mp4', 19.8585, '15:58:57', '2021-05-10', '']
[0, 'video_2.mp4', 19.8585, '15:58:57', '2021-05-10', '']
[0, 'video.mp4', 19.4282, '15:58:58', '2021-05-10', '']
[0, 'video_1.mp4', 19.4282, '15:58:58', '2021-05-10', '']
[0, 'video_2.mp4', 19.4282, '15:58:58', '2021-05-10', '']
[0, 'video_3.mp4', 19.4282, '15:58:58', '2021-05-10', '']
[0, 'video.mp4', 18.8525, '15:58:58', '2021-05-10', '']
[0, 'video_1.mp4', 18.8525, '15:58:58', '2021-05-10', '']
[0, 'video_2.mp4', 18.8525, '15:58:58', '2021-05-10', '']
[0, 'video_3.mp4', 18.8525, '15:58:58', '2021-05-10', '']
[0, 'video.mp4', 19.4681, '15:58:58', '2021-05-10', '']
[0, 'video_1.mp4', 19.4681, '15:58:58', '2021-05-10', '']
[0, 'video_3.mp4', 19.4681, '15:58:58', '2021-05-10', '']
[0, 'video_2.mp4', 19.4681, '15:58:58', '2021-05-10', '']
[0, 'video.mp4', 18.64, '15:58:59', '2021-05-10', '']
[0, 'video_1.mp4', 18.64, '15:58:59', '2021-05-10', '']
[0, 'video_2.mp4', 18.64, '15:58:59', '2021-05-10', '']
[0, 'video_3.mp4', 18.64, '15:58:59', '2021-05-10', '']
[0, 'video.mp4', 18.4899, '15:58:59', '2021-05-10', '']
[0, 'video_1.mp4', 18.4899, '15:58:59', '2021-05-10', '']
[0, 'video_2.mp4', 18.4899, '15:58:59', '2021-05-10', '']
[0, 'video_3.mp4', 18.4899, '15:58:59', '2021-05-10', '']
[0, 'video.mp4', 18.4321, '15:58:59', '2021-05-10', '']
[0, 'video_1.mp4', 18.4321, '15:58:59', '2021-05-10', '']
[0, 'video_2.mp4', 18.4321, '15:58:59', '2021-05-10', '']
[0, 'video_3.mp4', 18.4321, '15:58:59', '2021-05-10', '']
[0, 'video.mp4', 19.1765, '15:59:00', '2021-05-10', '']
[0, 'video_1.mp4', 19.1765, '15:59:00', '2021-05-10', '']
[0, 'video_3.mp4', 19.1765, '15:59:00', '2021-05-10', '']
[0, 'video_2.mp4', 19.1765, '15:59:00', '2021-05-10', '']
[0, 'video.mp4', 17.8345, '15:59:00', '2021-05-10', '']
[0, 'video_1.mp4', 17.8345, '15:59:00', '2021-05-10', '']
[0, 'video_3.mp4', 17.8345, '15:59:00', '2021-05-10', '']
[0, 'video_2.mp4', 17.8345, '15:59:00', '2021-05-10', '']
[0, 'video.mp4', 17.8697, '15:59:00', '2021-05-10', '']
[0, 'video_1.mp4', 17.8697, '15:59:00', '2021-05-10', '']
[0, 'video_2.mp4', 17.8697, '15:59:00', '2021-05-10', '']
[0, 'video_3.mp4', 17.8697, '15:59:00', '2021-05-10', '']
[0, 'video.mp4', 18.5281, '15:59:01', '2021-05-10', '']
[0, 'video_1.mp4', 18.5281, '15:59:01', '2021-05-10', '']
[0, 'video_2.mp4', 18.5281, '15:59:01', '2021-05-10', '']
[0, 'video_3.mp4', 18.5281, '15:59:01', '2021-05-10', '']
[0, 'video.mp4', 17.8535, '15:59:01', '2021-05-10', '']
[0, 'video_1.mp4', 17.8535, '15:59:01', '2021-05-10', '']
[0, 'video_3.mp4', 17.8535, '15:59:01', '2021-05-10', '']
[0, 'video_2.mp4', 17.8535, '15:59:01', '2021-05-10', '']
[0, 'video.mp4', 17.6968, '15:59:01', '2021-05-10', '']
[0, 'video_1.mp4', 17.6968, '15:59:01', '2021-05-10', '']
[0, 'video_2.mp4', 17.6968, '15:59:01', '2021-05-10', '']
[0, 'video_3.mp4', 17.6968, '15:59:01', '2021-05-10', '']
[0, 'video.mp4', 17.0621, '15:59:02', '2021-05-10', '']
[0, 'video_1.mp4', 17.0621, '15:59:02', '2021-05-10', '']
[0, 'video_3.mp4', 17.0621, '15:59:02', '2021-05-10', '']
[0, 'video_2.mp4', 17.0621, '15:59:02', '2021-05-10', '']
[0, 'video.mp4', 17.8083, '15:59:02', '2021-05-10', '']
[0, 'video_1.mp4', 17.8083, '15:59:02', '2021-05-10', '']
[0, 'video_2.mp4', 17.8083, '15:59:02', '2021-05-10', '']
[0, 'video_3.mp4', 17.8083, '15:59:02', '2021-05-10', '']
[0, 'video.mp4', 17.5291, '15:59:02', '2021-05-10', '']
[0, 'video_1.mp4', 17.5291, '15:59:02', '2021-05-10', '']
[0, 'video_3.mp4', 17.5291, '15:59:02', '2021-05-10', '']
[0, 'video_2.mp4', 17.5291, '15:59:02', '2021-05-10', '']
[0, 'video.mp4', 17.4426, '15:59:03', '2021-05-10', '']
[0, 'video_1.mp4', 17.4426, '15:59:03', '2021-05-10', '']
[0, 'video_2.mp4', 17.4426, '15:59:03', '2021-05-10', '']
[0, 'video_3.mp4', 17.4426, '15:59:03', '2021-05-10', '']
[0, 'video.mp4', 18.6481, '15:59:03', '2021-05-10', '']
[0, 'video_1.mp4', 18.6481, '15:59:03', '2021-05-10', '']
[0, 'video_2.mp4', 18.6481, '15:59:03', '2021-05-10', '']
[0, 'video_3.mp4', 18.6481, '15:59:03', '2021-05-10', '']
[0, 'video.mp4', 18.814, '15:59:03', '2021-05-10', '']
[0, 'video_1.mp4', 18.814, '15:59:03', '2021-05-10', '']
[0, 'video_2.mp4', 18.814, '15:59:03', '2021-05-10', '']
[0, 'video_3.mp4', 18.814, '15:59:03', '2021-05-10', '']
[0, 'video.mp4', 17.899, '15:59:04', '2021-05-10', '']
