['video_3.mp4', '18.8525%', datetime.datetime(2021, 5, 8, 23, 1, 45, 826541)]
['video_2.mp4', '18.8525%', datetime.datetime(2021, 5, 8, 23, 1, 45, 842555)]
['video_1.mp4', '18.8913%', datetime.datetime(2021, 5, 8, 23, 1, 45, 998309)]
['video_3.mp4', '18.8913%', datetime.datetime(2021, 5, 8, 23, 1, 46, 14324)]
['video_2.mp4', '18.8913%', datetime.datetime(2021, 5, 8, 23, 1, 46, 30337)]
['video_1.mp4', '19.4681%', datetime.datetime(2021, 5, 8, 23, 1, 46, 185494)]
['video_3.mp4', '19.4681%', datetime.datetime(2021, 5, 8, 23, 1, 46, 201508)]
['video_2.mp4', '19.4681%', datetime.datetime(2021, 5, 8, 23, 1, 46, 216520)]
['video_1.mp4', '18.6100%', datetime.datetime(2021, 5, 8, 23, 1, 46, 374404)]
['video_3.mp4', '18.6100%', datetime.datetime(2021, 5, 8, 23, 1, 46, 388420)]
['video_2.mp4', '18.6100%', datetime.datetime(2021, 5, 8, 23, 1, 46, 404434)]
['video_1.mp4', '18.6400%', datetime.datetime(2021, 5, 8, 23, 1, 46, 560708)]
['video_3.mp4', '18.6400%', datetime.datetime(2021, 5, 8, 23, 1, 46, 577724)]
['video_2.mp4', '18.6400%', datetime.datetime(2021, 5, 8, 23, 1, 46, 592736)]
['video_1.mp4', '17.9425%', datetime.datetime(2021, 5, 8, 23, 1, 46, 748539)]
['video_3.mp4', '17.9425%', datetime.datetime(2021, 5, 8, 23, 1, 46, 767556)]
['video_2.mp4', '17.9425%', datetime.datetime(2021, 5, 8, 23, 1, 46, 781568)]
['video_1.mp4', '18.4899%', datetime.datetime(2021, 5, 8, 23, 1, 46, 935887)]
['video_3.mp4', '18.4899%', datetime.datetime(2021, 5, 8, 23, 1, 46, 952902)]
['video_2.mp4', '18.4899%', datetime.datetime(2021, 5, 8, 23, 1, 46, 968917)]
['video_1.mp4', '18.4959%', datetime.datetime(2021, 5, 8, 23, 1, 47, 123738)]
['video_3.mp4', '18.4959%', datetime.datetime(2021, 5, 8, 23, 1, 47, 140753)]
['video_2.mp4', '18.4959%', datetime.datetime(2021, 5, 8, 23, 1, 47, 156768)]
['video_1.mp4', '18.4321%', datetime.datetime(2021, 5, 8, 23, 1, 47, 313714)]
['video_3.mp4', '18.4321%', datetime.datetime(2021, 5, 8, 23, 1, 47, 327726)]
['video_2.mp4', '18.4321%', datetime.datetime(2021, 5, 8, 23, 1, 47, 343741)]
['video_1.mp4', '19.1320%', datetime.datetime(2021, 5, 8, 23, 1, 47, 497370)]
['video_3.mp4', '19.1320%', datetime.datetime(2021, 5, 8, 23, 1, 47, 512384)]
['video_2.mp4', '19.1320%', datetime.datetime(2021, 5, 8, 23, 1, 47, 530399)]
['video_1.mp4', '19.1765%', datetime.datetime(2021, 5, 8, 23, 1, 47, 684591)]
['video_3.mp4', '19.1765%', datetime.datetime(2021, 5, 8, 23, 1, 47, 704608)]
['video_2.mp4', '19.1765%', datetime.datetime(2021, 5, 8, 23, 1, 47, 719623)]
['video_1.mp4', '18.3876%', datetime.datetime(2021, 5, 8, 23, 1, 47, 873364)]
['video_3.mp4', '18.3876%', datetime.datetime(2021, 5, 8, 23, 1, 47, 889378)]
['video_2.mp4', '18.3876%', datetime.datetime(2021, 5, 8, 23, 1, 47, 905392)]
['video_1.mp4', '17.8345%', datetime.datetime(2021, 5, 8, 23, 1, 48, 61973)]
['video_3.mp4', '17.8345%', datetime.datetime(2021, 5, 8, 23, 1, 48, 77987)]
['video_2.mp4', '17.8345%', datetime.datetime(2021, 5, 8, 23, 1, 48, 94001)]
['video_1.mp4', '17.8359%', datetime.datetime(2021, 5, 8, 23, 1, 48, 250351)]
['video_3.mp4', '17.8359%', datetime.datetime(2021, 5, 8, 23, 1, 48, 265365)]
['video_2.mp4', '17.8359%', datetime.datetime(2021, 5, 8, 23, 1, 48, 281379)]
['video_1.mp4', '17.8697%', datetime.datetime(2021, 5, 8, 23, 1, 48, 436238)]
